timestamp,message
1762596005462,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596005463,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596005463,"INIT_REPORT Init Duration: 3.22 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596005463,"START RequestId: ded4c301-912d-406e-b38e-45980c18e478 Version: $LATEST
"
1762596005464,"RequestId: ded4c301-912d-406e-b38e-45980c18e478 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596005464,"END RequestId: ded4c301-912d-406e-b38e-45980c18e478
"
1762596005464,"REPORT RequestId: ded4c301-912d-406e-b38e-45980c18e478	Duration: 4.39 ms	Billed Duration: 5 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596076518,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596076518,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596076518,"INIT_REPORT Init Duration: 3.34 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596076518,"START RequestId: 92f60ee1-1482-447f-ad7d-9f12a2997aa1 Version: $LATEST
"
1762596076521,"RequestId: 92f60ee1-1482-447f-ad7d-9f12a2997aa1 Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596076521,"END RequestId: 92f60ee1-1482-447f-ad7d-9f12a2997aa1
"
1762596076521,"REPORT RequestId: 92f60ee1-1482-447f-ad7d-9f12a2997aa1	Duration: 6.33 ms	Billed Duration: 7 ms	Memory Size: 512 MB	Max Memory Used: 6 MB	
"
1762596122509,"[FATAL tini (12)] Failed to register as child subreaper: Operation not permitted
"
1762596122510,"EXTENSION	Name: lambda-adapter	State: Ready	Events: []
"
1762596122510,"INIT_REPORT Init Duration: 3.03 ms	Phase: invoke	Status: error	Error Type: Runtime.ExitError
"
1762596122510,"START RequestId: 843e44ad-6100-4a82-a0d3-849757be341b Version: $LATEST
"
1762596122521,"RequestId: 843e44ad-6100-4a82-a0d3-849757be341b Error: Runtime exited with error: exit status 1
Runtime.ExitError
"
1762596122521,"END RequestId: 843e44ad-6100-4a82-a0d3-849757be341b
"
